trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1148,False,"{'a': 0.6, 'e': 0.007193475767736715}",20,13,12.928936519275362,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1149,False,"{'a': 0.6, 'e': 0.007052601947437212}",25,15,16.435396210518107,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1150,False,"{'a': 0.6, 'e': 0.006913938848609311}",30,12,33.990177370948736,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1151,False,"{'a': 0.6, 'e': 0.006777462618996464}",25,0,33.93302480571272,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1152,False,"{'a': 0.6, 'e': 0.0066431494806332}",20,10,18.963260473864324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1153,False,"{'a': 0.6, 'e': 0.006510975732422121}",30,12,35.72423898089693,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1154,False,"{'a': 0.6, 'e': 0.00638091775268014}",20,9,19.745468531139746,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1155,False,"{'a': 0.6, 'e': 0.006252952001654068}",25,19,14.15905460257217,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1156,False,"{'a': 0.6, 'e': 0.006127055024004962}",30,22,15.376080400735777,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1157,False,"{'a': 0.6, 'e': 0.0060032034512601355}",25,11,26.79347920770729,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1158,False,"{'a': 0.6, 'e': 0.005881374004233322}",20,13,12.671282044560135,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1159,False,"{'a': 0.6, 'e': 0.005761543495411458}",30,12,35.686765020354784,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1160,False,"{'a': 0.6, 'e': 0.005643688831308607}",20,8,20.493517502841936,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1161,False,"{'a': 0.6, 'e': 0.005527787014785586}",25,11,23.873982784261962,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1162,False,"{'a': 0.6, 'e': 0.005413815147335828}",25,11,29.53665293383421,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1163,False,"{'a': 0.6, 'e': 0.005301750431336086}",25,19,11.446345237757575,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1164,False,"{'a': 0.6, 'e': 0.005191570172262455}",20,5,29.532054036497936,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1165,False,"{'a': 0.6, 'e': 0.005083251780870424}",20,3,23.242667013710506,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1166,False,"{'a': 0.6, 'e': 0.004976772775339441}",20,9,23.088914059628983,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1167,False,"{'a': 0.6, 'e': 0.004872110783380741}",25,15,-21.595343392969042,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1168,False,"{'a': 0.6, 'e': 0.004769243544308834}",20,12,16.87274923049743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1169,False,"{'a': 0.6, 'e': 0.004668148911075609}",30,17,26.886734737097242,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1170,False,"{'a': 0.6, 'e': 0.004568804852267364}",20,8,19.99976652525951,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1171,False,"{'a': 0.6, 'e': 0.004471189454063753}",20,8,23.011364110779365,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1172,False,"{'a': 0.6, 'e': 0.004375280922158991}",25,2,37.04926079809234,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1173,False,"{'a': 0.6, 'e': 0.004281057583644353}",25,17,14.572192966746945,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1174,False,"{'a': 0.6, 'e': 0.004188497888852365}",20,13,11.128334345326458,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1175,False,"{'a': 0.6, 'e': 0.004097580413161653}",30,7,41.767655258851555,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
