trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.7, 'e': 0.7995461620810406}",20,5,-86.81878285762828,"{0: 7, 1: 5, 2: 1, 3: 1, 4: 1}",1
159,False,"{'a': 0.7, 'e': 0.22460650271960575}",20,0,-18.347717311077155,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
160,False,"{'a': 0.7, 'e': 0.4559691044442761}",20,0,-23.549656936807388,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.7, 'e': 0.9220953170742175}",35,0,-122.7563532969212,"{0: 20, 1: 5, 2: 8, 3: 2, 4: 0}",0
162,False,"{'a': 0.7, 'e': 0.95454569394739}",25,0,-116.25639340461042,"{0: 14, 1: 6, 2: 2, 3: 2, 4: 1}",0
163,False,"{'a': 0.7, 'e': 0.5380583157692023}",20,0,-69.75979678004559,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
164,False,"{'a': 0.7, 'e': 0.13148629570834275}",30,16,-23.449868450950536,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.7391908477842001}",30,0,-167.4118184180702,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
166,False,"{'a': 0.7, 'e': 0.9992423939715545}",25,0,-104.356642330247,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
167,False,"{'a': 0.7, 'e': 0.7893346286809807}",25,12,-64.76850396629531,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 1}",1
168,False,"{'a': 0.7, 'e': 0.20819045382794424}",30,10,37.75340089727239,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.4708689445259511}",20,0,14.9835174050298,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.7, 'e': 0.928471320739071}",25,2,-137.6883568547711,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 1}",1
171,False,"{'a': 0.7, 'e': 0.9493991270440358}",20,0,-66.02359402737359,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
172,False,"{'a': 0.7, 'e': 0.523809689129614}",20,6,-58.48927763193339,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
173,False,"{'a': 0.7, 'e': 0.14813563033463398}",30,0,8.84065349410353,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
174,False,"{'a': 0.7, 'e': 0.7504104481694291}",30,0,-155.30761900354702,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
175,False,"{'a': 0.7, 'e': 0.9997555067434418}",25,0,-236.12276985510852,"{0: 9, 1: 7, 2: 5, 3: 0, 4: 4}",0
176,False,"{'a': 0.7, 'e': 0.7788999288853089}",20,6,-99.09202082495466,"{0: 6, 1: 1, 2: 6, 3: 0, 4: 1}",1
177,False,"{'a': 0.7, 'e': 0.19171554382529962}",20,0,10.183876272630648,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.7, 'e': 0.4856356571337549}",20,0,-2.5124695941520727,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
179,False,"{'a': 0.7, 'e': 0.9345848202763398}",35,0,-121.06510310280336,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
180,False,"{'a': 0.7, 'e': 0.9439841391523188}",35,0,-88.46161333499525,"{0: 22, 1: 5, 2: 7, 3: 1, 4: 0}",0
181,False,"{'a': 0.7, 'e': 0.5094129672259107}",20,0,-54.330939029981806,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
182,False,"{'a': 0.7, 'e': 0.16474308298402685}",20,13,-30.279178745918223,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
